Unnamed: 0,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
97,2021-09-09,872.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,24.0,21787.5,907.8125,20940.0,0,-847.5,50644.5,29704.5,29704.5,0.0,0,0,0.0,0.0,0.0,-847.5,-528.0,1,-0.01695,-0.01056,0.0
98,2021-09-10,878.75,BOT,6.0,872.5,2021-09-10,WEAT US EQUITY_MWEC2 COMDTY_14,ENTER,,2021-09-10,,872.5,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,30.0,27022.5,900.75,26362.5,0,-660.0,50832.0,24469.5,29704.5,-5235.0,0,0,0.0,0.0,0.0,-660.0,187.5,1,-0.0132,0.00375,0.0
99,2021-09-13,876.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,30.0,27022.5,900.75,26280.0,0,-742.5,50749.5,24469.5,24469.5,0.0,0,0,0.0,0.0,0.0,-742.5,-82.5,1,-0.01485,-0.00165,0.0
100,2021-09-14,887.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,30.0,27022.5,900.75,26617.5,0,-405.0,51087.0,24469.5,24469.5,0.0,0,0,0.0,0.0,0.0,-405.0,337.5,1,-0.0081,0.00675,0.0
101,2021-09-15,893.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,30.0,27022.5,900.75,26805.0,0,-217.5,51274.5,24469.5,24469.5,0.0,0,0,0.0,0.0,0.0,-217.5,187.5,1,-0.00435,0.00375,0.0
102,2021-09-16,894.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,30.0,27022.5,900.75,26820.0,0,-202.5,51289.5,24469.5,24469.5,0.0,0,0,0.0,0.0,0.0,-202.5,15.0,1,-0.00405,0.0003,0.0
103,2021-09-17,888.75,SLD,-6.0,894.0,2021-09-17,WEAT US EQUITY_MWEC2 COMDTY_10,EXIT,,2021-09-17,,894.0,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,24.0,21618.0,900.75,21330.0,0,-288.0,51163.5,29833.5,24469.5,5364.0,0,1,-40.5,-0.00749375520399667,-40.5,-328.5,-126.0,1,-0.00657,-0.00252,-0.00081
104,2021-09-17,888.75,SLD,-6.0,894.0,2021-09-17,WEAT US EQUITY_MWEC2 COMDTY_11,EXIT,,2021-09-17,,894.0,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,18.0,16213.5,900.75,15997.5,0,-216.0,51195.0,35197.5,29833.5,5364.0,0,1,-40.5,-0.00749375520399667,-40.5,-256.5,31.5,1,-0.00513,0.00063,-0.00081
105,2021-09-17,888.75,SLD,-6.0,894.0,2021-09-17,WEAT US EQUITY_MWEC2 COMDTY_12,EXIT,,2021-09-17,,894.0,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,12.0,10809.0,900.75,10665.0,0,-144.0,51226.5,40561.5,35197.5,5364.0,0,1,-40.5,-0.00749375520399667,-40.5,-184.5,31.5,1,-0.00369,0.00063,-0.00081
106,2021-09-17,888.75,SLD,-6.0,894.0,2021-09-17,WEAT US EQUITY_MWEC2 COMDTY_13,EXIT,,2021-09-17,,894.0,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,6.0,5404.5,900.75,5332.5,0,-72.0,51258.0,45925.5,40561.5,5364.0,0,1,-40.5,-0.00749375520399667,-40.5,-112.5,31.5,1,-0.00225,0.00063,-0.00081
