Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
66,2021-08-25,925.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,5.0,4592.5,918.5,4626.25,0,33.75,51134.0,46507.75,46507.75,0.0,0,0,0.0,0.0,0.0,33.75,-27.5,1,0.000675,-0.00055,0.0
87,2021-08-25,908.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,12.0,10932.0,911.0,10896.0,0,-36.0,51456.0,40560.0,40560.0,0.0,0,0,0.0,0.0,0.0,-36.0,-33.0,1,-0.00072,-0.00066,0.0
83,2021-08-25,711.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,7.0,5092.5,727.5,4978.75,0,-113.75,50305.25,45326.5,45326.5,0.0,0,0,0.0,0.0,0.0,-113.75,-47.25,1,-0.002275,-0.000945,0.0
