Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
7,2021-05-24,684.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,13.0,9287.5,714.4230769230769,8901.75,0,-385.75,49614.25,40712.5,40712.5,0.0,0,0,0.0,0.0,0.0,-385.75,-204.75,1,-0.007715,-0.004095,0.0
12,2021-05-24,615.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,15.0,9606.25,640.4166666666666,9228.75,0,-377.5,49622.5,40393.75,40393.75,0.0,0,0,0.0,0.0,0.0,-377.5,-131.25,1,-0.00755,-0.002625,0.0
15,2021-05-24,691.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,14.0,10125.5,723.25,9681.0,0,-444.5,49555.5,39874.5,39874.5,0.0,0,0,0.0,0.0,0.0,-444.5,-199.5,1,-0.00889,-0.00399,0.0
15,2021-05-24,662.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2021-05-01_2021-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,14.0,9840.25,702.875,9271.5,0,-568.75,49431.25,40159.75,40159.75,0.0,0,0,0.0,0.0,0.0,-568.75,-168.0,1,-0.011375,-0.00336,0.0
