Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
112,2022-10-11,907.75,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,128.0,116932.0,913.53125,116192.0,0,-740.0,49260.0,-66932.0,-66932.0,0.0,0,0,0.0,0.0,0.0,-740.0,-3296.0,1,-0.0148,-0.06592,0.0
103,2022-10-11,985.25,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,5.0,4826.25,965.25,4926.25,0,100.0,48356.25,43430.0,43430.0,0.0,0,0,0.0,0.0,0.0,100.0,-145.0,1,0.002,-0.0029,0.0
112,2022-10-11,991.0,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,5.0,4862.5,972.5,4955.0,0,92.5,50431.75,45476.75,45476.75,0.0,0,0,0.0,0.0,0.0,92.5,-137.5,1,0.00185,-0.00275,0.0
122,2022-10-11,917.0,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,10.0,9031.25,903.125,9170.0,0,138.75,48283.0,39113.0,39113.0,0.0,0,0,0.0,0.0,0.0,138.75,-345.0,1,0.002775,-0.0069,0.0
