,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2015-05-01,534.5,2015-05-01,BOT,9.0,538.75,WEAT US EQUITY_MWEC2 COMDTY_0,ENTER,,2015-05-01,,538.75,0
1,2015-05-04,530.25,,,,,,,,,,,0
2,2015-05-05,524.75,,,,,,,,,,,0
3,2015-05-06,538.75,,,,,,,,,,,0
4,2015-05-07,530.75,,,,,,,,,,,0
5,2015-05-08,541.0,2015-05-08,SLD,-9.0,530.5,WEAT US EQUITY_MWEC2 COMDTY_0,EXIT,,2015-05-08,,530.5,0
6,2015-05-11,536.75,,,,,,,,,,,0
7,2015-05-12,536.5,,,,,,,,,,,0
8,2015-05-13,540.0,,,,,,,,,,,0
9,2015-05-14,566.5,,,,,,,,,,,0
10,2015-05-15,572.75,,,,,,,,,,,0
11,2015-05-18,586.0,,,,,,,,,,,0
12,2015-05-19,575.5,,,,,,,,,,,0
13,2015-05-20,578.75,,,,,,,,,,,0
14,2015-05-21,589.25,,,,,,,,,,,0
15,2015-05-22,580.0,,,,,,,,,,,0
16,2015-05-26,564.25,,,,,,,,,,,0
17,2015-05-27,556.25,,,,,,,,,,,0
18,2015-05-28,557.75,,,,,,,,,,,0
19,2015-05-29,541.5,2015-05-29,BOT,9.0,555.0,WEAT US EQUITY_MWEC2 COMDTY_1,ENTER,,2015-05-29,,555.0,0
20,2015-06-01,558.0,,,,,,,,,,,0
21,2015-06-02,580.25,,,,,,,,,,,0
22,2015-06-03,571.75,,,,,,,,,,,0
23,2015-06-04,585.0,,,,,,,,,,,0
24,2015-06-05,581.5,2015-06-05,SLD,-9.0,583.0,WEAT US EQUITY_MWEC2 COMDTY_1,EXIT,,2015-06-05,,583.0,0
25,2015-06-08,591.0,,,,,,,,,,,0
26,2015-06-09,593.0,,,,,,,,,,,0
27,2015-06-10,577.0,,,,,,,,,,,0
28,2015-06-11,572.25,,,,,,,,,,,0
29,2015-06-12,570.25,2015-06-12,BOT,9.0,572.25,WEAT US EQUITY_MWEC2 COMDTY_2,ENTER,,2015-06-12,,572.25,0
30,2015-06-15,554.25,,,,,,,,,,,0
31,2015-06-16,556.5,,,,,,,,,,,0
32,2015-06-17,557.25,,,,,,,,,,,0
33,2015-06-18,550.5,,,,,,,,,,,0
34,2015-06-19,553.75,2015-06-19,BOT,9.0,551.25,WEAT US EQUITY_MWEC2 COMDTY_3,ENTER,,2015-06-19,,551.25,0
