Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
96,2016-09-09,418.5,BOT,12.0,416.75,2016-09-09,WEAT US EQUITY_1KWC2 COMDTY_9,ENTER,,2016-09-09,,416.75,0,./Chagoi_wheat_futures_2016-05-01_2016-10-31/signal_only_0WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,25.0,10279.0,411.16,10462.5,0,183.5,48596.5,38134.0,43135.0,-5001.0,0,0,0.0,0.0,0.0,183.5,27.5,1,0.00367,0.00055,0.0
90,2016-09-09,393.5,SLD,-13.0,389.25,2016-09-09,WEAT US EQUITY_1KWC1 COMDTY_6,EXIT,,2016-09-09,,389.25,0,./Chagoi_wheat_futures_2016-05-01_2016-10-31/signal_only_0WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,48297.0,48297.0,43236.75,5060.25,1,0,91.0,0.01831262262916939,91.0,91.0,-42.25,0,0.00182,-0.000845,0.00182
94,2016-09-09,403.5,SLD,-12.0,404.75,2016-09-09,WEAT US EQUITY_WC2 COMDTY_6,EXIT,,2016-09-09,,404.75,0,./Chagoi_wheat_futures_2016-05-01_2016-10-31/signal_only_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50117.0,50117.0,44855.25,10118.75,0,2,-70.25000000000006,-0.01378938070468153,-70.25000000000006,-70.25000000000006,-31.25,0,-0.002460599999999996,-0.000625,-0.0014050000000000013
