Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
77,2016-08-31,485.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2016-05-01_2016-10-31/signal_only_0WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,10.0,4962.5,496.25,4857.5,0,-105.0,49877.0,45019.5,45019.5,0.0,0,0,0.0,0.0,0.0,-105.0,-50.0,1,-0.0021,-0.001,0.0
88,2016-08-31,481.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2016-05-01_2016-10-31/signal_only_0WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,20.0,10297.5,514.875,9630.0,0,-667.5,48514.75,38884.75,38884.75,0.0,0,0,0.0,0.0,0.0,-667.5,-85.0,1,-0.01335,-0.0017,0.0
88,2016-08-31,388.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2016-05-01_2016-10-31/signal_only_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,12.0,5067.0,422.25,4659.0,0,-408.0,49779.25,45120.25,45120.25,0.0,0,0,0.0,0.0,0.0,-408.0,-48.0,1,-0.00816,-0.00096,0.0
