Unnamed: 0,dates,pxs,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
70,2015-08-07,513.75,2015-08-07,BOT,10.0,509.5,WEAT US EQUITY_1KWC2 COMDTY_9,ENTER,,2015-08-07,,509.5,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,47.0,25385.5,540.1170212765958,24146.25,0,-1239.25,49304.75,25158.5,30253.5,-5095.0,0,0,0.0,0.0,0.0,-1239.25,181.25,1,-0.024785,0.003625,0.0
57,2015-08-07,525.0,2015-08-07,SLD,-9.0,518.0,WEAT US EQUITY_MWEC1 COMDTY_1,EXIT,,2015-08-07,,518.0,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,49408.25,49408.25,44746.25,9324.0,0,2,-391.5,-0.08059286706808708,-391.5,-391.5,-9.0,0,-0.010485000000000001,-0.00018000000000000004,-0.00783
66,2015-08-07,493.0,2015-08-07,BOT,10.0,489.5,WEAT US EQUITY_1KWC1 COMDTY_3,ENTER,,2015-08-07,,489.5,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,19.0,9869.75,519.4605263157895,9367.0,0,-502.75,50012.25,40645.25,45540.25,-4895.0,0,0,0.0,0.0,0.0,-502.75,66.5,1,-0.010055,0.00133,0.0
70,2015-08-07,541.25,2015-08-07,BOT,9.0,534.0,WEAT US EQUITY_MWEC2 COMDTY_7,ENTER,,2015-08-07,,534.0,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,18.0,9702.0,539.0,9742.5,0,40.5,50081.75,40339.25,45145.25,-4806.0,0,0,0.0,0.0,0.0,40.5,126.0,1,0.00081,0.00252,0.0
69,2015-08-07,515.75,2015-08-07,SLD,-9.0,513.75,WEAT US EQUITY_WC2 COMDTY_5,EXIT,,2015-08-07,,513.75,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50551.75,50551.75,45414.25,14898.75,0,3,-555.7499999999994,-0.1078811996505871,-555.7499999999994,-555.7499999999994,72.5,0,-0.021413275862068957,0.00145,-0.011114999999999988
70,2015-08-07,510.5,2015-08-07,BOT,10.0,507.75,WEAT US EQUITY_WC1 COMDTY_13,ENTER,,2015-08-07,,507.75,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,98.0,50834.75,518.7219387755102,50029.0,0,-805.75,50367.75,338.75,5416.25,-5077.5,0,0,0.0,0.0,0.0,-805.75,335.5,1,-0.016115,0.00671,0.0
