Unnamed: 0,dates,pxs,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
132,2015-10-21,495.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,30.0,15487.5,516.25,14865.0,0,-622.5,49210.0,34345.0,34345.0,0.0,0,0,0.0,0.0,0.0,-622.5,120.0,1,-0.01245,0.0024,0.0
127,2015-10-21,525.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,9.0,4819.5,535.5,4731.75,0,-87.75,48985.5,44253.75,44253.75,0.0,0,0,0.0,0.0,0.0,-87.75,22.5,1,-0.001755,0.00045,0.0
124,2015-10-21,501.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,20.0,10282.5,514.125,10025.0,0,-257.5,50184.25,40159.25,40159.25,0.0,0,0,0.0,0.0,0.0,-257.5,60.0,1,-0.00515,0.0012,0.0
122,2015-10-21,494.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,200.0,101032.5,505.1625,98950.0,0,-2082.5,49091.0,-49859.0,-49859.0,0.0,0,0,0.0,0.0,0.0,-2082.5,700.0,1,-0.04165,0.014,0.0
