Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
39,2018-06-26,475.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,73.0,39826.25,545.5650684931506,34711.5,0,-5114.75,44885.25,10173.75,10173.75,0.0,0,0,0.0,0.0,0.0,-5114.75,-876.0,1,-0.102295,-0.01752,0.0
36,2018-06-26,458.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,37.0,19410.5,524.6081081081081,16946.0,0,-2464.5,47454.5,30508.5,30508.5,0.0,0,0,0.0,0.0,0.0,-2464.5,-434.75,1,-0.04929,-0.008695,0.0
39,2018-06-26,545.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,33.0,19638.75,595.1136363636364,18001.5,0,-1637.25,48464.75,30463.25,30463.25,0.0,0,0,0.0,0.0,0.0,-1637.25,-189.75,1,-0.032745,-0.003795,0.0
