Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
87,2014-09-12,568.25,BOT,8.0,568.25,2014-09-12,WEAT US EQUITY_MWEC1 COMDTY_8,ENTER,,2014-09-12,,568.25,0,./Chagoi_wheat_futures_2014-05-01_2014-10-31/signal_only_9WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,8.0,4546.0,568.25,4546.0,0,0.0,49680.25,45134.25,49680.25,-4546.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
94,2014-09-12,572.25,BOT,8.0,595.0,2014-09-12,WEAT US EQUITY_1KWC1 COMDTY_8,ENTER,,2014-09-12,,595.0,0,./Chagoi_wheat_futures_2014-05-01_2014-10-31/signal_only_9WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,8.0,4760.0,595.0,4578.0,0,-182.0,48147.75,43569.75,48329.75,-4760.0,0,0,0.0,0.0,0.0,-182.0,-182.0,1,-0.00364,-0.00364,0.0
104,2014-09-12,502.5,BOT,10.0,508.5,2014-09-12,WEAT US EQUITY_WC2 COMDTY_15,ENTER,,2014-09-12,,508.5,0,./Chagoi_wheat_futures_2014-05-01_2014-10-31/signal_only_9WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,19.0,9861.75,519.0394736842105,9547.5,0,-314.25,48151.25,38603.75,43688.75,-5085.0,0,0,0.0,0.0,0.0,-314.25,-123.0,1,-0.006285,-0.00246,0.0
100,2014-09-12,498.25,BOT,10.0,498.75,2014-09-12,WEAT US EQUITY_WC1 COMDTY_13,ENTER,,2014-09-12,,498.75,0,./Chagoi_wheat_futures_2014-05-01_2014-10-31/signal_only_9WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,38.0,20151.5,530.3026315789474,18933.5,0,-1218.0,45468.75,26535.25,31522.75,-4987.5,0,0,0.0,0.0,0.0,-1218.0,-138.0,1,-0.02436,-0.00276,0.0
