Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
88,2019-09-03,487.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2019-05-01_2019-10-31/signal_only_4WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,84.0,44263.75,526.9494047619048,40908.0,0,-3355.75,47293.25,6385.25,6385.25,0.0,0,0,0.0,0.0,0.0,-3355.75,-819.0,1,-0.067115,-0.01638,0.0
90,2019-09-03,453.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2019-05-01_2019-10-31/signal_only_4WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,32.0,15144.0,473.25,14512.0,0,-632.0,49476.5,34964.5,34964.5,0.0,0,0,0.0,0.0,0.0,-632.0,-288.0,1,-0.01264,-0.00576,0.0
91,2019-09-03,447.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2019-05-01_2019-10-31/signal_only_4WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,11.0,5142.5,467.5,4919.75,0,-222.75,50235.0,45315.25,45315.25,0.0,0,0,0.0,0.0,0.0,-222.75,-44.0,1,-0.004455,-0.00088,0.0
