Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
87,2019-08-30,496.75,BOT,10.0,501.25,2019-08-30,WEAT US EQUITY_MWEC2 COMDTY_12,ENTER,,2019-08-30,,501.25,0,./Chagoi_wheat_futures_2019-05-01_2019-10-31/signal_only_4WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,84.0,44263.75,526.9494047619048,41727.0,0,-2536.75,48112.25,6385.25,11397.75,-5012.5,0,0,0.0,0.0,0.0,-2536.75,-396.5,1,-0.050735,-0.00793,0.0
89,2019-08-30,462.5,BOT,11.0,472.75,2019-08-30,WEAT US EQUITY_WC2 COMDTY_9,ENTER,,2019-08-30,,472.75,0,./Chagoi_wheat_futures_2019-05-01_2019-10-31/signal_only_4WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,32.0,15144.0,473.25,14800.0,0,-344.0,49764.5,34964.5,40164.75,-5200.25,0,0,0.0,0.0,0.0,-344.0,-328.0,1,-0.00688,-0.00656,0.0
90,2019-08-30,451.25,BOT,11.0,467.5,2019-08-30,WEAT US EQUITY_WC1 COMDTY_10,ENTER,,2019-08-30,,467.5,0,./Chagoi_wheat_futures_2019-05-01_2019-10-31/signal_only_4WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,11.0,5142.5,467.5,4963.75,0,-178.75,50279.0,45315.25,50457.75,-5142.5,0,0,0.0,0.0,0.0,-178.75,-178.75,1,-0.003575,-0.003575,0.0
