Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
84,2017-08-22,427.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2017-05-01_2017-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,11.0,4862.0,442.0,4697.0,0,-165.0,50172.5,45475.5,45475.5,0.0,0,0,0.0,0.0,0.0,-165.0,-96.25,1,-0.0033,-0.001925,0.0
76,2017-08-22,399.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2017-05-01_2017-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,23.0,9915.5,431.10869565217394,9177.0,0,-738.5,49458.75,40281.75,40281.75,0.0,0,0,0.0,0.0,0.0,-738.5,-201.25,1,-0.01477,-0.004025,0.0
80,2017-08-22,656.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2017-05-01_2017-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,28.0,20123.25,718.6875,18375.0,0,-1748.25,48692.0,30317.0,30317.0,0.0,0,0,0.0,0.0,0.0,-1748.25,-357.0,1,-0.034965,-0.00714,0.0
80,2017-08-22,429.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2017-05-01_2017-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,41.0,19448.25,474.3475609756098,17589.0,0,-1859.25,48988.0,31399.0,31399.0,0.0,0,0,0.0,0.0,0.0,-1859.25,-328.0,1,-0.037185,-0.00656,0.0
80,2017-08-22,402.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2017-05-01_2017-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,12.0,4968.0,414.0,4827.0,0,-141.0,49609.0,44782.0,44782.0,0.0,0,0,0.0,0.0,0.0,-141.0,-87.0,1,-0.00282,-0.00174,0.0
