name,Period,R,AnnR,Sharpe,B&H,ExcessR,W/L,%Win,AV.G,AV.L,ER,MAX_D_DD,PtT,MAX_M_DD,Sortino,Beta
CHAGOI1.7_WEAT US EQUITY,1M,-1.8%,-18.2%,-2.36,-1.6%,-0.2%,3/3,50%,1.2%,-3.6%,-1.2%,-1.2%,-3.5%,-3.5%,-3.1,0.4
CHAGOI1.7_WEAT US EQUITY,B&H,-1.6%,-16.2%,-0.98,-1.6%,0.0%,0/0,0%,0%,0%,0%,-2.4%,-6.2%,-6.2%,-1.45,1
CHAGOI1.7_WEAT US EQUITY,3M,-4.0%,-14.4%,-0.83,-10.2%,6.2%,13/17,43%,4.1%,-4.1%,-0.5%,-4.1%,-12.2%,-12.2%,-1.23,0.65
CHAGOI1.7_WEAT US EQUITY,B&H,-10.2%,-33.8%,-1.77,-10.2%,0.0%,0/0,0%,0%,0%,0%,-2.8%,-16.0%,-10.5%,-2.44,1
CHAGOI1.7_WEAT US EQUITY,ALL,9.4%,19.2%,0.35,-7.2%,16.6%,37/29,56%,5.0%,-3.9%,1.1%,-8.3%,-31.9%,-28.6%,0.57,1.26
CHAGOI1.7_WEAT US EQUITY,B&H,-7.2%,-13.5%,-0.59,-7.2%,0.0%,0/0,0%,0%,0%,0%,-3.9%,-16.0%,-12.1%,-0.87,1
