Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
96,2020-09-15,479.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,32.0,15202.25,475.0703125,15328.0,0,125.75,49689.25,34361.25,34361.25,0.0,0,0,0.0,0.0,0.0,125.75,176.0,1,0.002515,0.00352,0.0
77,2020-09-15,524.25,BOT,10.0,530.25,2020-09-15,WEAT US EQUITY_MWEC1 COMDTY_10,ENTER,,2020-09-15,,530.25,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC1 COMDTY.csv,10.0,5302.5,530.25,5242.5,0,-60.0,50027.75,44785.25,50087.75,-5302.5,0,0,0.0,0.0,0.0,-60.0,-60.0,1,-0.0012,-0.0012,0.0
99,2020-09-15,468.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,10.0,4770.0,477.0,4680.0,0,-90.0,49825.0,45145.0,45145.0,0.0,0,0,0.0,0.0,0.0,-90.0,-67.5,1,-0.0018,-0.00135,0.0
102,2020-09-15,537.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_MWEC2 COMDTY.csv,9.0,4819.5,535.5,4837.5,0,18.0,51813.5,46976.0,46976.0,0.0,0,0,0.0,0.0,0.0,18.0,63.0,1,0.00036,0.00126,0.0
101,2020-09-15,547.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,9.0,4934.25,548.25,4925.25,0,-9.0,51668.5,46743.25,46743.25,0.0,0,0,0.0,0.0,0.0,-9.0,13.5,1,-0.00018,0.00027,0.0
96,2020-09-15,538.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2020-05-01_2020-10-31/signal_only_5WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,18.0,9765.0,542.5,9688.5,0,-76.5,50140.0,40451.5,40451.5,0.0,0,0,0.0,0.0,0.0,-76.5,-184.5,1,-0.00153,-0.00369,0.0
