Date,pxs,total_return,realized_return
2016-05-02,461.0,0.0,0.0
2016-05-03,442.0,0.0,0.0
2016-05-05,440.25,0.0,0.0
2016-05-06,441.0,-0.00033,0.0
2016-05-09,433.75,-0.001595,0.0
2016-05-10,436.75,0.00066,0.0
2016-05-11,431.5,-0.001155,0.0
2016-05-16,453.5,0.005335,0.002915
2016-05-17,457.75,0.0,0.0
2016-05-18,456.75,0.0,0.0
2016-05-19,448.0,0.0,0.0
2016-05-20,449.0,0.0,0.0
2016-05-23,447.0,0.0,0.0
2016-05-24,446.5,0.0,0.0
2016-05-25,451.0,0.0,0.0
2016-05-26,462.25,0.0,0.0
2016-05-27,459.75,0.0,0.0
2016-05-31,447.25,0.0,0.0
2016-06-01,456.0,0.0,0.0
2016-06-02,464.5,0.0,0.0
2016-06-03,474.0,0.0,0.0
2016-06-06,481.25,0.0,0.0
2016-06-07,485.0,0.0,0.0
2016-06-08,492.75,0.0,0.0
2016-06-09,484.25,0.0,0.0
2016-06-10,468.5,-0.0031,0.0
2016-06-13,460.75,-0.00155,0.0
2016-06-14,458.5,-0.00045,0.0
2016-06-15,456.75,-0.00035,0.0
2016-06-16,450.75,-0.0012,0.0
2016-06-17,460.75,0.0042,0.0
2016-06-20,451.25,-0.00399,0.0
2016-06-21,435.0,-0.006825,0.0
2016-06-22,433.0,-0.00084,0.0
2016-06-23,427.75,-0.002205,0.0
2016-06-24,422.75,-0.0033,0.0
2016-06-27,412.75,-0.0066,0.0
2016-06-28,408.75,-0.00264,0.0
2016-06-29,400.0,-0.005775,0.0
2016-06-30,404.25,0.002805,0.0
2016-07-01,394.25,-0.00822,0.0
2016-07-05,402.0,0.006975,0.0
2016-07-06,400.5,-0.00135,0.0
2016-07-07,396.5,-0.0036,0.0
2016-07-08,405.25,0.006125,-0.008447777777777776
2016-07-08,405.25,-0.001925,-0.009292555555555554
2016-07-08,405.25,-0.0021,-0.010137333333333332
2016-07-08,405.25,-0.0021,-0.010137333333333332
2016-07-11,401.0,0.0,0.0
2016-07-12,407.75,0.0,0.0
2016-07-13,407.75,0.0,0.0
2016-07-15,413.75,0.0,0.0
2016-07-18,420.0,0.0,0.0
2016-07-19,410.5,0.0,0.0
2016-07-20,406.75,0.0,0.0
2016-07-21,407.5,0.0,0.0
2016-07-22,419.0,0.0,0.0
2016-07-25,423.25,0.0,0.0
2016-07-26,412.0,0.0,0.0
2016-07-27,412.5,0.0,0.0
2016-07-28,409.0,0.0,0.0
2016-07-29,409.75,0.00018,0.0
2016-08-01,409.25,-0.00012,0.0
2016-08-02,406.5,-0.00066,0.0
2016-08-03,412.25,0.00138,0.0
2016-08-04,405.75,-0.00156,0.0
2016-08-05,411.75,0.0,-0.00078
2016-08-08,409.75,0.0,0.0
2016-08-09,410.0,0.0,0.0
2016-08-10,411.75,0.0,0.0
2016-08-11,412.25,0.0,0.0
2016-08-12,416.25,0.0,0.0
2016-08-15,411.75,0.0,0.0
2016-08-16,411.25,0.0,0.0
2016-08-17,418.25,0.0,0.0
2016-08-18,421.0,0.0,0.0
2016-08-19,418.75,0.0,0.0
2016-08-22,413.75,0.0,0.0
2016-08-23,407.25,0.0,0.0
2016-08-24,407.75,0.0,0.0
2016-08-25,405.5,0.0,0.0
2016-08-26,389.75,0.0,0.0
2016-08-29,374.25,0.0,0.0
2016-08-30,367.75,0.0,0.0
2016-08-31,371.25,0.0,0.0
2016-09-01,379.75,0.0,0.0
2016-09-02,386.5,0.001105,0.0
2016-09-06,384.0,-0.00065,0.0
2016-09-07,384.75,0.000195,0.0
2016-09-08,392.5,0.002015,0.0
2016-09-09,393.5,-0.000845,0.00182
2016-09-12,399.75,0.0,0.0
2016-09-13,392.25,0.0,0.0
2016-09-15,416.0,0.0,0.0
2016-09-16,417.25,0.0,0.0
2016-09-19,416.5,0.0,0.0
2016-09-20,418.5,0.0,0.0
2016-09-21,422.25,0.0,0.0
2016-09-22,420.75,0.0,0.0
2016-09-23,421.5,0.0,0.0
2016-09-26,414.0,0.0,0.0
2016-09-27,419.25,0.0,0.0
2016-09-28,421.25,0.0,0.0
2016-09-29,417.25,0.0,0.0
2016-09-30,415.5,-0.00036,0.0
2016-10-03,407.0,-0.00204,0.0
2016-10-04,403.0,-0.00096,0.0
2016-10-05,415.0,0.00288,0.0
2016-10-06,405.0,-0.0024,0.0
2016-10-07,403.0,-0.00132,0.0
2016-10-10,407.0,0.00192,0.0
2016-10-11,406.25,-0.00036,0.0
2016-10-12,398.5,-0.00372,0.0
2016-10-13,414.0,0.00744,0.0
2016-10-14,417.75,0.00078,0.00042
2016-10-14,417.75,-0.00102,0.00042
2016-10-17,422.0,0.0,0.0
2016-10-18,421.75,0.0,0.0
2016-10-19,425.25,0.0,0.0
2016-10-20,423.0,0.0,0.0
2016-10-21,421.5,0.0,0.0
2016-10-24,412.5,0.0,0.0
2016-10-25,413.5,0.0,0.0
2016-10-26,417.0,0.0,0.0
2016-10-27,417.0,0.0,0.0
2016-10-28,411.25,0.0,0.0
2016-10-31,414.75,0.0,0.0
