Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
73,2012-08-24,876.25,BOT,6.0,881.5,2012-08-24,WEAT US EQUITY_1KWC1 COMDTY_5,ENTER,,2012-08-24,,881.5,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,24.0,21199.5,883.3125,21030.0,0,-169.5,50564.5,29534.5,34823.5,-5289.0,0,0,0.0,0.0,0.0,-169.5,-153.0,1,-0.00339,-0.00306,0.0
82,2012-08-24,888.5,BOT,5.0,893.75,2012-08-24,WEAT US EQUITY_WC2 COMDTY_8,ENTER,,2012-08-24,,893.75,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,11.0,9757.75,887.0681818181819,9773.5,0,15.75,51433.25,41659.75,46128.5,-4468.75,0,0,0.0,0.0,0.0,15.75,-63.75,1,0.000315,-0.001275,0.0
83,2012-08-24,867.5,BOT,6.0,873.5,2012-08-24,WEAT US EQUITY_WC1 COMDTY_12,ENTER,,2012-08-24,,873.5,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,36.0,31963.5,887.875,31230.0,0,-733.5,53000.25,21770.25,27011.25,-5241.0,0,0,0.0,0.0,0.0,-733.5,-246.0,1,-0.01467,-0.00492,0.0
