Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
63,2012-08-10,893.0,BOT,6.0,911.75,2012-08-10,WEAT US EQUITY_1KWC1 COMDTY_3,ENTER,,2012-08-10,,911.75,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,12.0,10678.5,889.875,10716.0,0,37.5,50771.5,40055.5,45526.0,-5470.5,0,0,0.0,0.0,0.0,37.5,-244.5,1,0.00075,-0.00489,0.0
71,2012-08-10,901.25,SLD,-5.0,927.0,2012-08-10,WEAT US EQUITY_WC2 COMDTY_5,EXIT,,2012-08-10,,927.0,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,51417.5,51417.5,45855.5,10197.0,2,0,440.49999999999955,0.0902987751755239,440.49999999999955,440.49999999999955,0.0,0,0.010525454545454532,0.0,0.008809999999999991
73,2012-08-10,885.25,BOT,6.0,912.75,2012-08-10,WEAT US EQUITY_WC1 COMDTY_10,ENTER,,2012-08-10,,912.75,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,24.0,21555.0,898.125,21246.0,0,-309.0,53424.75,32178.75,37655.25,-5476.5,0,0,0.0,0.0,0.0,-309.0,-664.5,1,-0.00618,-0.01329,0.0
