Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
70,2012-08-21,908.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,18.0,15910.5,883.9166666666666,16348.5,0,438.0,51172.0,34823.5,34823.5,0.0,0,0,0.0,0.0,0.0,438.0,310.5,1,0.00876,0.00621,0.0
79,2012-08-21,922.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,6.0,5289.0,881.5,5532.0,0,243.0,51660.5,46128.5,46128.5,0.0,0,0,0.0,0.0,0.0,243.0,115.5,1,0.00486,0.00231,0.0
80,2012-08-21,900.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,30.0,26722.5,890.75,27015.0,0,292.5,54026.25,27011.25,27011.25,0.0,0,0,0.0,0.0,0.0,292.5,630.0,1,0.00585,0.0126,0.0
