Unnamed: 0,dates,pxs,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,total_return,realized_return
71,2012-08-22,905.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC1 COMDTY.csv,18.0,15910.5,883.9166666666666,16294.5,0,384.0,51118.0,34823.5,34823.5,0.0,0,0,0.0,0.0,0.0,384.0,-54.0,1,0.00768,-0.00108,0.0
80,2012-08-22,917.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC2 COMDTY.csv,6.0,5289.0,881.5,5502.0,0,213.0,51630.5,46128.5,46128.5,0.0,0,0,0.0,0.0,0.0,213.0,-30.0,1,0.00426,-0.0006,0.0
81,2012-08-22,896.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2012-05-01_2012-10-31/signal_only_8WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,30.0,26722.5,890.75,26895.0,0,172.5,53906.25,27011.25,27011.25,0.0,0,0,0.0,0.0,0.0,172.5,-120.0,1,0.00345,-0.0024,0.0
