name,Period,R,AnnR,Sharpe,B&H,ExcessR,W/L,%Win,AV.G,AV.L,ER,MAX_D_DD,PtT,MAX_M_DD,Sortino,Beta
CHAGOI1.7_WEAT US EQUITY,1M,8.3%,139.9%,4.47,5.9%,2.4%,14/1,93%,3.5%,0.0%,3.3%,-2.5%,-2.6%,-2.6%,9.93,0.64
CHAGOI1.7_WEAT US EQUITY,B&H,5.9%,88.0%,2.55,5.9%,0.0%,0/0,0%,0%,0%,0%,-2.3%,-5.4%,-5.4%,4.85,1
CHAGOI1.7_WEAT US EQUITY,3M,12.7%,58.0%,2.28,8.2%,4.5%,34/14,71%,3.7%,-2.5%,1.9%,-3.0%,-9.8%,-9.8%,3.76,0.64
CHAGOI1.7_WEAT US EQUITY,B&H,8.2%,35.1%,1.3,8.2%,0.0%,0/0,0%,0%,0%,0%,-3.5%,-6.7%,-6.7%,2.12,1
CHAGOI1.7_WEAT US EQUITY,ALL,21.0%,45.5%,1.45,9.4%,11.6%,61/26,70%,3.2%,-2.1%,1.6%,-5.0%,-14.8%,-9.8%,2.41,0.92
CHAGOI1.7_WEAT US EQUITY,B&H,9.4%,19.3%,0.77,9.4%,0.0%,0/0,0%,0%,0%,0%,-3.5%,-10.1%,-10.1%,1.24,1
