name,Period,R,AnnR,Sharpe,B&H,ExcessR,W/L,%Win,AV.G,AV.L,ER,MAX_D_DD,PtT,MAX_M_DD,Sortino,Beta
CHAGOI1.7_WEAT US EQUITY,2020-05,-0.6%,-7.1%,-0.48,-0.0%,-0.6%,12/4,75%,0.6%,-2.9%,-0.3%,-1.8%,-4.7%,-4.7%,-0.72,0.65
CHAGOI1.7_WEAT US EQUITY,B&H,-0.0%,-0.6%,-0.04,-0.0%,0.0%,0/0,0%,0%,0%,0%,-1.9%,-4.7%,-4.7%,-0.06,1
CHAGOI1.7_WEAT US EQUITY,2020-06,-3.5%,-33.7%,-1.54,-5.4%,1.9%,4/1,80%,0.0%,-1.4%,-0.3%,-5.0%,-9.8%,-9.8%,-2.05,1.01
CHAGOI1.7_WEAT US EQUITY,B&H,-5.4%,-46.9%,-2.93,-5.4%,0.0%,0/0,0%,0%,0%,0%,-2.8%,-10.1%,-10.1%,-4.04,1
CHAGOI1.7_WEAT US EQUITY,2020-07,12.8%,296.4%,2.91,7.0%,5.8%,11/7,61%,6.0%,-1.1%,3.3%,-4.7%,-7.9%,-7.9%,5.46,1.56
CHAGOI1.7_WEAT US EQUITY,B&H,7.0%,117.2%,2.95,7.0%,0.0%,0/0,0%,0%,0%,0%,-2.0%,-4.2%,-4.2%,5.47,1
CHAGOI1.7_WEAT US EQUITY,2020-08,-0.5%,-5.9%,-0.23,2.2%,-2.7%,4/13,24%,3.7%,-2.7%,-1.2%,-3.0%,-9.8%,-9.8%,-0.31,1.03
CHAGOI1.7_WEAT US EQUITY,B&H,2.2%,29.7%,1.24,2.2%,0.0%,0/0,0%,0%,0%,0%,-2.0%,-6.7%,-6.7%,2.0,1
CHAGOI1.7_WEAT US EQUITY,2020-09,8.7%,172.1%,5.02,3.7%,5.0%,16/0,100%,3.8%,0%,3.8%,-1.2%,-1.5%,-1.5%,16.09,0.52
CHAGOI1.7_WEAT US EQUITY,B&H,3.7%,54.7%,1.57,3.7%,0.0%,0/0,0%,0%,0%,0%,-3.5%,-5.4%,-5.4%,2.66,1
CHAGOI1.7_WEAT US EQUITY,2020-10,4.1%,58.8%,2.93,1.9%,2.2%,14/1,93%,3.5%,0.0%,3.3%,-2.5%,-2.6%,-2.6%,5.03,0.49
CHAGOI1.7_WEAT US EQUITY,B&H,1.9%,24.4%,0.87,1.9%,0.0%,0/0,0%,0%,0%,0%,-2.3%,-5.4%,-5.4%,1.4,1
