,PX_HIGH,PX_LAST,PX_OPEN,PX_LOW,PX_VOLUME,TR.TSVWAP,date,dates,pxs,totalcost,end_capital,investment_mv,unrealized_gl,realized_gl,total_gl,dailyreturn,win,loss,realized_before_commission,realized_return_pertrade,holding,long_mv,short_mv,cashflow,net_mv,gross_mv,dailyreturn_realized_percent,dailyreturn_total_percent,realized_return,total_return
0,5.36,5.31,5.35,5.26,90393.0,5.3016,2020-05-01,2020-05-01,5.31,17594.5,282405.5,17349.0,-245.5,0.0,-245.5,-245.5,0,0,0.0,0.0,4,17349.0,0.0,-17594.5,17349.0,17349.0,0.0,-0.007131679850576056,0.0,-0.007131679850576056
1,5.32,5.31,5.31,5.21,169472.0,5.2853,2020-05-04,2020-05-04,5.31,13045.0,236955.0,12924.25,-120.75,0.0,-120.75,59.5,0,0,0.0,0.0,3,12924.25,0.0,0.0,12924.25,12924.25,0.0,0.001728451939345317,0.0,0.001728451939345317
2,5.3479,5.3479,5.34,5.28,100348.0,5.319,2020-05-05,2020-05-05,5.3479,13045.0,236955.0,12962.25,-82.75,0.0,-82.75,38.0,0,0,0.0,0.0,3,12962.25,0.0,0.0,12962.25,12962.25,0.0,0.001103885272186925,0.0,0.001103885272186925
3,5.34,5.27,5.34,5.26,42849.0,5.2947,2020-05-06,2020-05-06,5.27,13045.0,236955.0,12907.75,-137.25,0.0,-137.25,-54.5,0,0,0.0,0.0,3,12907.75,0.0,0.0,12907.75,12907.75,0.0,-0.0015832038772154585,0.0,-0.0015832038772154585
4,5.38,5.34,5.33,5.31,153395.0,5.3412,2020-05-07,2020-05-07,5.34,13045.0,236955.0,13011.0,-34.0,0.0,-34.0,103.25,0,0,0.0,0.0,3,13011.0,0.0,0.0,13011.0,13011.0,0.0,0.00299937248298158,0.0,0.00299937248298158
5,5.3778,5.37,5.31,5.31,60480.0,5.3509,2020-05-08,2020-05-08,5.37,37664.5,212335.5,38041.5,377.0,0.0,377.0,411.0,0,0,0.0,0.0,5,38041.5,0.0,-24619.5,38041.5,38041.5,0.0,0.011939390707074374,0.0,0.011939390707074374
6,5.37,5.29,5.36,5.29,70485.0,5.3308,2020-05-11,2020-05-11,5.29,37664.5,212335.5,37797.5,133.0,0.0,133.0,-244.0,0,0,0.0,0.0,5,37797.5,0.0,0.0,37797.5,37797.5,0.0,-0.007088105431937099,0.0,-0.007088105431937099
7,5.3055,5.26,5.3,5.23,73268.0,5.2631,2020-05-12,2020-05-12,5.26,28637.5,171362.5,28687.5,50.0,0.0,50.0,-189.25,0,0,0.0,0.0,4,28687.5,0.0,0.0,28687.5,28687.5,0.0,-0.005497639151615147,0.0,-0.005497639151615147
8,5.238,5.16,5.22,5.16,124785.0,5.1845,2020-05-13,2020-05-13,5.16,23887.5,126112.5,23230.75,-656.75,0.0,-656.75,-621.75,0,0,0.0,0.0,3,23230.75,0.0,0.0,23230.75,23230.75,0.0,-0.018061596525847913,0.0,-0.018061596525847913
9,5.2,5.19,5.15,5.11,53988.0,5.1643,2020-05-14,2020-05-14,5.19,23887.5,126112.5,23210.0,-677.5,0.0,-677.5,-20.75,0,0,0.0,0.0,3,23210.0,0.0,0.0,23210.0,23210.0,0.0,-0.0006027794578389131,0.0,-0.0006027794578389131
