,PX_HIGH,PX_LAST,PX_OPEN,PX_LOW,PX_VOLUME,TR.TSVWAP,date,dates,pxs,totalcost,end_capital,investment_mv,unrealized_gl,realized_gl,total_gl,dailyreturn,win,loss,realized_before_commission,realized_return_pertrade,holding,long_mv,short_mv,cashflow,net_mv,gross_mv,dailyreturn_realized_percent,dailyreturn_total_percent,realized_return,total_return
0,10.6599,10.53,10.42,10.35,1485591.0,10.483,2022-05-02,2022-05-02,10.53,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.67,10.49,10.56,10.4001,1442218.0,10.4919,2022-05-03,2022-05-03,10.49,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.77,10.75,10.72,10.56,3058607.0,10.6774,2022-05-04,2022-05-04,10.75,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11.08,10.98,10.93,10.79,4795536.0,10.949,2022-05-05,2022-05-05,10.98,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11.14,11.0,11.0,10.91,2275708.0,11.013,2022-05-06,2022-05-06,11.0,5117.5,144882.5,5137.5,20.0,0.0,20.0,20.0,0,0,0.0,0.0,1,5137.5,0.0,-5117.5,5137.5,5137.5,0.0,0.00011992816303034482,0.0,0.00011992816303034482
5,11.15,10.68,11.03,10.58,5456325.0,10.8563,2022-05-09,2022-05-09,10.68,5117.5,144882.5,5098.75,-18.75,0.0,-18.75,-38.75,0,0,0.0,0.0,1,5098.75,0.0,0.0,5098.75,5098.75,0.0,-0.00023236081587129308,0.0,-0.00023236081587129308
6,10.95,10.91,10.89,10.78,2171549.0,10.8856,2022-05-10,2022-05-10,10.91,5117.5,194882.5,5133.75,16.25,0.0,16.25,35.0,0,0,0.0,0.0,1,5133.75,0.0,0.0,5133.75,5133.75,0.0,0.00020987428530310344,0.0,0.00020987428530310344
7,11.34,11.29,10.99,10.93,11871273.0,11.1405,2022-05-11,2022-05-11,11.29,5117.5,144882.5,5196.25,78.75,0.0,78.75,62.5,0,0,0.0,0.0,1,5196.25,0.0,0.0,5196.25,5196.25,0.0,0.0003747755094698276,0.0,0.0003747755094698276
8,11.74,11.58,11.1,10.99,10454420.0,11.3543,2022-05-12,2022-05-12,11.58,5117.5,144882.5,5441.25,323.75,0.0,323.75,245.0,0,0,0.0,0.0,1,5441.25,0.0,0.0,5441.25,5441.25,0.0,0.001469119997121724,0.0,0.001469119997121724
9,11.66,11.64,11.61,11.46,3291517.0,11.5853,2022-05-13,2022-05-13,11.64,15273.5,184726.5,15427.5,154.0,0.0,154.0,-169.75,0,0,0.0,0.0,2,15427.5,0.0,-10156.0,15427.5,15427.5,0.0,-0.0010178902837200516,0.0,-0.0010178902837200516
10,12.17,12.14,12.05,11.91,10908500.0,12.0661,2022-05-16,2022-05-16,12.14,15273.5,184726.5,15781.5,508.0,0.0,508.0,354.0,0,0,0.0,0.0,2,15781.5,0.0,0.0,15781.5,15781.5,0.0,0.0021227284856371034,0.0,0.0021227284856371034
11,12.42,12.36,11.97,11.92,7897015.0,12.2054,2022-05-17,2022-05-17,12.36,15273.5,184726.5,16285.0,1011.5,0.0,1011.5,503.5,0,0,0.0,0.0,2,16285.0,0.0,0.0,16285.0,16285.0,0.0,0.003019191504288931,0.0,0.003019191504288931
12,12.19,12.0,12.1489,11.88,7787866.0,12.0345,2022-05-18,2022-05-18,12.0,15273.5,184726.5,15907.0,633.5,0.0,633.5,-378.0,0,0,0.0,0.0,2,15907.0,0.0,0.0,15907.0,15907.0,0.0,-0.002266642281273517,0.0,-0.002266642281273517
13,11.9799,11.77,11.75,11.65,5012863.0,11.818,2022-05-19,2022-05-19,11.77,15273.5,184726.5,15671.5,398.0,0.0,398.0,-235.5,0,0,0.0,0.0,2,15671.5,0.0,0.0,15671.5,15671.5,0.0,-0.0014121541196823104,0.0,-0.0014121541196823104
14,11.77,11.5,11.66,11.47,4477538.0,11.5709,2022-05-20,2022-05-20,11.5,30828.5,169171.5,30550.75,-277.75,0.0,-277.75,-675.75,0,0,0.0,0.0,3,30550.75,0.0,-15555.0,30550.75,30550.75,0.0,-0.0040520728083877754,0.0,-0.0040520728083877754
