,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
107,2022-10-04,983.75,,,,,,,,,,,0
108,2022-10-05,988.5,,,,,,,,,,,0
109,2022-10-06,969.75,,,,,,,,,,,0
110,2022-10-07,975.75,BOT,5.0,972.5,2022-10-07,WEAT US EQUITY_MWEC2 COMDTY_4,ENTER,,2022-10-07,,972.5,0
111,2022-10-10,1018.5,,,,,,,,,,,0
112,2022-10-11,991.0,,,,,,,,,,,0
113,2022-10-12,974.0,,,,,,,,,,,0
114,2022-10-13,985.75,,,,,,,,,,,0
115,2022-10-14,963.0,SLD,-5.0,990.5,2022-10-14,WEAT US EQUITY_MWEC2 COMDTY_4,EXIT,,2022-10-14,,990.5,0
116,2022-10-17,963.0,,,,,,,,,,,0
117,2022-10-18,963.0,,,,,,,,,,,0
118,2022-10-19,959.25,,,,,,,,,,,0
119,2022-10-20,969.5,,,,,,,,,,,0
120,2022-10-21,968.0,,,,,,,,,,,0
121,2022-10-24,965.0,,,,,,,,,,,0
122,2022-10-25,960.0,,,,,,,,,,,0
123,2022-10-26,959.25,,,,,,,,,,,0
124,2022-10-27,958.0,,,,,,,,,,,0
125,2022-10-28,953.0,BOT,5.0,955.0,2022-10-28,WEAT US EQUITY_MWEC2 COMDTY_5,ENTER,,2022-10-28,,955.0,0
126,2022-10-31,989.75,,,,,,,,,,,0
