name,Period,R,AnnR,Sharpe,B&H,ExcessR,W/L,%Win,AV.G,AV.L,ER,MAX_D_DD,PtT,MAX_M_DD,Sortino,Beta
CHAGOI1.7_WEAT US EQUITY,1M,-3.8%,-37.5%,-2.35,-1.9%,-1.9%,1/4,20%,2.0%,-0.6%,-0.1%,-4.5%,-5.9%,-5.9%,-2.85,1.03
CHAGOI1.7_WEAT US EQUITY,B&H,-1.9%,-20.9%,-1.28,-1.9%,0.0%,0/0,0%,0%,0%,0%,-2.6%,-5.0%,-5.0%,-1.63,1
CHAGOI1.7_WEAT US EQUITY,3M,0.7%,2.6%,0.57,-2.7%,3.4%,9/11,45%,1.7%,-0.5%,0.5%,-7.7%,-16.1%,-16.1%,0.98,1.14
CHAGOI1.7_WEAT US EQUITY,B&H,-2.7%,-10.4%,-0.03,-2.7%,0.0%,0/0,0%,0%,0%,0%,-4.0%,-8.3%,-7.4%,-0.05,1
CHAGOI1.7_WEAT US EQUITY,ALL,36.1%,86.1%,1.95,18.7%,17.4%,21/14,60%,6.2%,-0.9%,3.3%,-7.7%,-16.1%,-16.1%,3.74,0.8
CHAGOI1.7_WEAT US EQUITY,B&H,18.7%,41.2%,1.33,18.7%,0.0%,0/0,0%,0%,0%,0%,-4.3%,-9.6%,-9.0%,2.13,1
