,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission
0,2020-05-01,498.25,2020-05-01,BOT,9.0,505.5,WEAT US EQUITY_MWEC1 COMDTY_0,ENTER,,2020-05-01,,505.5,0
1,2020-05-15,506.25,2020-05-15,SLD,-9.0,507.75,WEAT US EQUITY_MWEC1 COMDTY_0,EXIT,,2020-05-15,,507.75,0
2,2020-05-18,504.75,,,,,,,,,,,0
3,2020-05-19,508.25,,,,,,,,,,,0
4,2020-05-20,520.5,,,,,,,,,,,0
5,2020-05-21,518.0,,,,,,,,,,,0
6,2020-05-22,513.0,2020-05-22,BOT,10.0,517.5,WEAT US EQUITY_MWEC1 COMDTY_1,ENTER,,2020-05-22,,517.5,0
7,2020-05-26,517.75,,,,,,,,,,,0
8,2020-05-27,513.25,,,,,,,,,,,0
9,2020-05-28,519.25,,,,,,,,,,,0
10,2020-05-29,525.0,2020-05-29,SLD,-10.0,518.5,WEAT US EQUITY_MWEC1 COMDTY_1,EXIT,,2020-05-29,,518.5,0
11,2020-06-01,521.25,,,,,,,,,,,0
12,2020-06-02,516.5,,,,,,,,,,,0
13,2020-06-03,520.25,,,,,,,,,,,0
14,2020-06-04,526.25,,,,,,,,,,,0
15,2020-06-05,518.75,2020-06-05,BOT,10.0,526.25,WEAT US EQUITY_MWEC1 COMDTY_2,ENTER,,2020-06-05,,526.25,0
16,2020-06-08,524.25,,,,,,,,,,,0
17,2020-06-09,524.25,,,,,,,,,,,0
18,2020-06-10,519.5,,,,,,,,,,,0
19,2020-06-11,513.25,,,,,,,,,,,0
20,2020-06-12,513.25,2020-06-12,BOT,10.0,513.5,WEAT US EQUITY_MWEC1 COMDTY_3,ENTER,,2020-06-12,,513.5,0
21,2020-06-15,515.0,,,,,,,,,,,0
22,2020-06-16,515.0,,,,,,,,,,,0
23,2020-06-17,520.25,,,,,,,,,,,0
24,2020-06-18,524.75,,,,,,,,,,,0
25,2020-06-19,524.25,2020-06-19,SLD,-10.0,524.0,WEAT US EQUITY_MWEC1 COMDTY_2,EXIT,,2020-06-19,,524.0,0
26,2020-06-19,524.25,2020-06-19,SLD,-10.0,524.0,WEAT US EQUITY_MWEC1 COMDTY_3,EXIT,,2020-06-19,,524.0,0
27,2020-06-22,518.75,,,,,,,,,,,0
28,2020-06-23,514.75,,,,,,,,,,,0
29,2020-06-24,516.25,,,,,,,,,,,0
30,2020-06-25,511.0,,,,,,,,,,,0
31,2020-06-26,498.5,2020-06-26,BOT,10.0,511.0,WEAT US EQUITY_MWEC1 COMDTY_4,ENTER,,2020-06-26,,511.0,0
32,2020-06-29,497.0,,,,,,,,,,,0
33,2020-06-30,509.25,,,,,,,,,,,0
34,2020-07-01,507.25,,,,,,,,,,,0
35,2020-07-02,495.75,,,,,,,,,,,0
36,2020-07-07,501.25,,,,,,,,,,,0
37,2020-07-15,527.75,2020-07-15,SLD,-10.0,518.75,WEAT US EQUITY_MWEC1 COMDTY_4,EXIT,,2020-07-15,,518.75,0
38,2020-07-16,515.25,,,,,,,,,,,0
39,2020-07-17,512.75,2020-07-17,BOT,10.0,515.25,WEAT US EQUITY_MWEC1 COMDTY_6,ENTER,,2020-07-17,,515.25,0
40,2020-07-20,506.5,,,,,,,,,,,0
41,2020-07-21,510.5,,,,,,,,,,,0
42,2020-07-22,514.75,,,,,,,,,,,0
43,2020-07-23,510.0,,,,,,,,,,,0
44,2020-07-24,515.25,2020-07-24,SLD,-10.0,510.0,WEAT US EQUITY_MWEC1 COMDTY_6,EXIT,,2020-07-24,,510.0,0
45,2020-07-27,508.0,,,,,,,,,,,0
46,2020-07-28,506.25,,,,,,,,,,,0
47,2020-07-29,511.0,,,,,,,,,,,0
48,2020-07-30,513.0,,,,,,,,,,,0
49,2020-07-31,514.0,2020-07-31,BOT,10.0,512.0,WEAT US EQUITY_MWEC1 COMDTY_7,ENTER,,2020-07-31,,512.0,0
50,2020-08-03,506.5,,,,,,,,,,,0
51,2020-08-04,501.75,,,,,,,,,,,0
52,2020-08-05,501.5,,,,,,,,,,,0
53,2020-08-06,496.0,,,,,,,,,,,0
54,2020-08-07,494.5,2020-08-07,BOT,10.0,495.5,WEAT US EQUITY_MWEC1 COMDTY_8,ENTER,,2020-08-07,,495.5,0
55,2020-08-10,490.75,,,,,,,,,,,0
56,2020-08-11,492.75,,,,,,,,,,,0
57,2020-08-12,492.25,,,,,,,,,,,0
58,2020-08-13,497.0,,,,,,,,,,,0
59,2020-08-14,497.5,2020-08-14,SLD,-10.0,496.5,WEAT US EQUITY_MWEC1 COMDTY_7,EXIT,,2020-08-14,,496.5,0
60,2020-08-14,497.5,2020-08-14,SLD,-10.0,496.5,WEAT US EQUITY_MWEC1 COMDTY_8,EXIT,,2020-08-14,,496.5,0
61,2020-08-17,505.0,,,,,,,,,,,0
62,2020-08-18,507.0,,,,,,,,,,,0
63,2020-08-19,510.0,,,,,,,,,,,0
64,2020-08-20,513.25,,,,,,,,,,,0
65,2020-08-21,515.0,2020-08-21,BOT,10.0,512.5,WEAT US EQUITY_MWEC1 COMDTY_9,ENTER,,2020-08-21,,512.5,0
66,2020-08-24,505.5,,,,,,,,,,,0
67,2020-08-25,516.5,,,,,,,,,,,0
68,2020-08-26,517.25,,,,,,,,,,,0
69,2020-08-27,522.75,,,,,,,,,,,0
70,2020-08-28,518.5,2020-08-28,SLD,-10.0,522.0,WEAT US EQUITY_MWEC1 COMDTY_9,EXIT,,2020-08-28,,522.0,0
71,2020-08-31,518.5,,,,,,,,,,,0
72,2020-09-01,525.25,,,,,,,,,,,0
73,2020-09-02,525.25,,,,,,,,,,,0
74,2020-09-03,527.5,,,,,,,,,,,0
75,2020-09-04,525.0,,,,,,,,,,,0
76,2020-09-09,514.0,,,,,,,,,,,0
