name,Period,R,AnnR,Sharpe,B&H,ExcessR,W/L,%Win,AV.G,AV.L,ER,MAX_D_DD,PtT,MAX_M_DD,Sortino,Beta
CHAGOI1.7_WEAT US EQUITY,1M,5.6%,81.8%,1.84,2.4%,3.2%,4/4,50%,0.4%,0.0%,0.2%,-3.4%,-11.1%,-11.1%,3.39,1.59
CHAGOI1.7_WEAT US EQUITY,B&H,2.4%,30.0%,1.25,2.4%,0.0%,0/0,0%,0%,0%,0%,-2.0%,-7.3%,-7.3%,2.07,1
CHAGOI1.7_WEAT US EQUITY,3M,6.5%,27.4%,0.74,1.5%,5.0%,10/32,24%,1.3%,-2.9%,-1.9%,-4.3%,-18.7%,-13.1%,1.14,1.42
CHAGOI1.7_WEAT US EQUITY,B&H,1.5%,5.8%,0.27,1.5%,0.0%,0/0,0%,0%,0%,0%,-3.0%,-11.7%,-8.1%,0.4,1
CHAGOI1.7_WEAT US EQUITY,ALL,4.4%,8.8%,0.34,1.9%,2.5%,26/37,41%,3.6%,-2.9%,-0.2%,-4.3%,-25.7%,-13.1%,0.52,0.73
CHAGOI1.7_WEAT US EQUITY,B&H,1.9%,3.7%,0.14,1.9%,0.0%,0/0,0%,0%,0%,0%,-4.2%,-24.6%,-18.7%,0.21,1
