,PX_HIGH,PX_LAST,PX_OPEN,PX_LOW,PX_VOLUME,TR.TSVWAP,date,dates,pxs,totalcost,end_capital,investment_mv,unrealized_gl,realized_gl,total_gl,dailyreturn,win,loss,realized_before_commission,realized_return_pertrade,holding,long_mv,short_mv,cashflow,net_mv,gross_mv,dailyreturn_realized_percent,dailyreturn_total_percent,realized_return,total_return
0,7.16,7.12,6.96,6.95,319753.0,7.0748,2017-05-01,2017-05-01,7.12,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.21,7.15,7.17,7.07,441027.0,7.1712,2017-05-02,2017-05-02,7.15,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.15,7.115,7.12,7.04,71509.0,7.1051,2017-05-03,2017-05-03,7.115,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7.08,6.88,7.08,6.87,167545.0,6.9512,2017-05-04,2017-05-04,6.88,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6.9899,6.96,6.93,6.93,100915.0,6.9645,2017-05-05,2017-05-05,6.96,4889.5,195110.5,4950.0,60.5,0.0,60.5,60.5,0,0,0.0,0.0,1,4950.0,0.0,-4889.5,4950.0,4950.0,0.0,0.0021456851335939523,0.0,0.002145685133594
5,6.93,6.86,6.93,6.85,108612.0,6.8707,2017-05-08,2017-05-08,6.86,4889.5,245110.5,4886.75,-2.75,0.0,-2.75,-63.25,0,0,0.0,0.0,1,4886.75,0.0,0.0,4886.75,4886.75,0.0,-0.0022432162760300414,0.0,-0.00224321627603
6,6.85,6.82,6.85,6.78,829748.0,6.8096,2017-05-09,2017-05-09,6.82,4889.5,195110.5,4826.25,-63.25,0.0,-63.25,-60.5,0,0,0.0,0.0,1,4826.25,0.0,0.0,4826.25,4826.25,0.0,-0.0021456851335939523,0.0,-0.002145685133594
7,6.9,6.85,6.86,6.74,526439.0,6.798,2017-05-10,2017-05-10,6.85,4889.5,195110.5,4831.75,-57.75,0.0,-57.75,5.5,0,0,0.0,0.0,1,4831.75,0.0,0.0,4831.75,4831.75,0.0,0.0001950622848721775,0.0,0.0001950622848721775
8,6.869,6.85,6.85,6.79,86503.0,6.827,2017-05-11,2017-05-11,6.85,4889.5,245110.5,4848.25,-41.25,0.0,-41.25,16.5,0,0,0.0,0.0,1,4848.25,0.0,0.0,4848.25,4848.25,0.0,0.0005851868546165325,0.0,0.0005851868546165325
9,6.87,6.84,6.86,6.81,56246.0,6.8327,2017-05-12,2017-05-12,6.84,30381.75,219618.25,30023.0,-358.75,0.0,-358.75,-317.5,0,0,0.0,0.0,5,30023.0,0.0,-25492.25,30023.0,30023.0,0.0,-0.011260413717621156,0.0,-0.011260413717621156
