name,Period,R,AnnR,Sharpe,B&H,ExcessR,W/L,%Win,AV.G,AV.L,ER,MAX_D_DD,PtT,MAX_M_DD,Sortino,Beta
CHAGOI1.7_WEAT US EQUITY,1M,0.0%,0.0%,-26.85,-1.1%,1.1%,0/0,0%,0%,0%,0%,0.0%,0%,0%,-13.74,0.0
CHAGOI1.7_WEAT US EQUITY,B&H,-1.1%,-11.4%,-0.82,-1.1%,0.0%,0/0,0%,0%,0%,0%,-2.0%,-5.8%,-5.8%,-1.2,1
CHAGOI1.7_WEAT US EQUITY,3M,9.2%,40.0%,1.48,-0.6%,9.8%,7/1,88%,1.2%,-0.2%,1.0%,-5.1%,-6.5%,-6.5%,2.77,0.66
CHAGOI1.7_WEAT US EQUITY,B&H,-0.6%,-2.3%,-0.36,-0.6%,0.0%,0/0,0%,0%,0%,0%,-3.0%,-5.8%,-5.8%,-0.52,1
CHAGOI1.7_WEAT US EQUITY,ALL,14.9%,31.2%,1.12,-14.6%,29.5%,12/2,86%,1.1%,-1.6%,0.7%,-5.1%,-11.7%,-8.7%,2.0,0.67
CHAGOI1.7_WEAT US EQUITY,B&H,-14.6%,-26.5%,-1.52,-14.6%,0.0%,0/0,0%,0%,0%,0%,-4.0%,-17.3%,-10.5%,-1.99,1
